"q15","q16","y3","y10","q14","Class"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Strongly disagree","Strongly disagree","Significantly worsened","Somewhat worsened","Somewhat improved","less.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Significantly worsened","Somewhat worsened","less.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Stayed about the same","Somewhat improved","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Somewhat improved","Stayed about the same","less.productivity"
"Strongly disagree","Strongly disagree","Significantly worsened","Not a barrier for me","Not a barrier for me","less.productivity"
"Somewhat agree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Somewhat improved","less.productivity"
"Neither agree nor disagree","Somewhat agree","Significantly worsened","Somewhat improved","Somewhat worsened","less.productivity"
"Somewhat agree","Somewhat agree","Somewhat improved","Somewhat improved","Stayed about the same","less.productivity"
"Strongly disagree","Somewhat disagree","Significantly improved","Somewhat worsened","Stayed about the same","less.productivity"
"Neither agree nor disagree","Somewhat disagree","Significantly worsened","Somewhat worsened","Stayed about the same","less.productivity"
"Strongly disagree","Strongly disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","less.productivity"
"Strongly agree","Strongly disagree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Somewhat agree","Strongly disagree","Significantly worsened","Somewhat worsened","Somewhat worsened","less.productivity"
"Strongly agree","Neither agree nor disagree","Not a barrier for me","Somewhat worsened","Not a barrier for me","less.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat worsened","less.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Somewhat improved","less.productivity"
"Strongly agree","Neither agree nor disagree","Significantly worsened","Stayed about the same","Significantly worsened","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Significantly worsened","Somewhat improved","Significantly improved","less.productivity"
"Somewhat agree","Somewhat agree","Stayed about the same","Somewhat improved","Somewhat improved","less.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat worsened","less.productivity"
"Strongly agree","Strongly agree","Significantly improved","Significantly improved","Stayed about the same","less.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat worsened","Significantly worsened","Stayed about the same","less.productivity"
"Somewhat agree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Significantly worsened","Somewhat worsened","less.productivity"
"Somewhat disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Not a barrier for me","less.productivity"
"Somewhat agree","Somewhat disagree","Not a barrier for me","Significantly improved","Not a barrier for me","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Not a barrier for me","less.productivity"
"Neither agree nor disagree","Somewhat disagree","Somewhat improved","Somewhat worsened","Stayed about the same","less.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Somewhat improved","Somewhat improved","less.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Stayed about the same","Somewhat improved","less.productivity"
"Strongly agree","Somewhat agree","Not a barrier for me","Not a barrier for me","Not a barrier for me","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Stayed about the same","Somewhat improved","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Somewhat worsened","less.productivity"
"Strongly disagree","Strongly disagree","Stayed about the same","Not a barrier for me","Not a barrier for me","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Significantly worsened","Significantly worsened","Somewhat worsened","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Significantly worsened","Somewhat worsened","Somewhat worsened","less.productivity"
"Neither agree nor disagree","Somewhat agree","Not a barrier for me","Somewhat improved","Significantly improved","less.productivity"
"Somewhat disagree","Somewhat disagree","Significantly worsened","Significantly worsened","Somewhat worsened","less.productivity"
"Neither agree nor disagree","Somewhat disagree","Stayed about the same","Stayed about the same","Somewhat worsened","less.productivity"
"Strongly agree","Strongly agree","Not a barrier for me","Significantly improved","Significantly improved","less.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Significantly worsened","Stayed about the same","Somewhat improved","less.productivity"
"Somewhat disagree","Somewhat agree","Stayed about the same","Stayed about the same","Stayed about the same","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","less.productivity"
"Neither agree nor disagree","Neither agree nor disagree","Not a barrier for me","Stayed about the same","Somewhat improved","less.productivity"
"Neither agree nor disagree","Somewhat agree","Stayed about the same","Somewhat worsened","Somewhat improved","less.productivity"
"Neither agree nor disagree","Somewhat disagree","Not a barrier for me","Somewhat worsened","Somewhat improved","less.productivity"
"Neither agree nor disagree","Somewhat agree","Somewhat improved","Stayed about the same","Not a barrier for me","less.productivity"
"Strongly disagree","Somewhat disagree","Somewhat worsened","Somewhat worsened","Not a barrier for me","less.productivity"
"Somewhat disagree","Strongly disagree","Stayed about the same","Stayed about the same","Somewhat improved","less.productivity"
"Somewhat agree","Somewhat agree","Somewhat worsened","Somewhat improved","Somewhat worsened","less.productivity"
"Somewhat disagree","Neither agree nor disagree","Somewhat worsened","Somewhat worsened","Stayed about the same","less.productivity"
"Somewhat agree","Neither agree nor disagree","Stayed about the same","Somewhat worsened","Stayed about the same","less.productivity"
"Strongly disagree","Somewhat disagree","Not a barrier for me","Somewhat worsened","Not a barrier for me","less.productivity"
"Somewhat disagree","Somewhat disagree","Somewhat improved","Somewhat improved","Somewhat improved","less.productivity"
"Somewhat disagree","Somewhat disagree","Not a barrier for me","Not a barrier for me","Not a barrier for me","less.productivity"
