Response ID,dob,gender,job_duration,industry,current_occupation,total_employees,household,Metro or Regional,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,Connectivity ,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,q11,q12,q13,q14,q15,q16,q17,q18,Class
1,1976,Male,More than 5 years,Other Services,Professionals - ICT Professionals,More than 200,Couple with dependent children,Metro,1,7,8,0,8,1,7,8,No,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Strongly agree,Somewhat agree,Neither agree nor disagree,No,more productivity
2,1971,Male,More than 5 years,Construction,Professionals - ICT Professionals,More than 200,Couple with no dependent children,Metro,2,6,6.5,0,10,4,4,6,No,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
3,1978,Female,Between 6 and 12 months,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,Single person,Metro,1,4,8,1,8,2,5,8,Yes,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat agree,Neither agree nor disagree,Somewhat disagree,No,same productivity
4,1962,Female,Between 1 and 5 years,Health Care and Social Assistance,Professionals - Health Professionals,Between 20 and 199,One parent family with dependent children,Regional,6,3,6,1,8,4,4,7,No,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Significantly worsened,Significantly worsened,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
5,1974,Male,More than 5 years,Financial and Insurance,Managers - Specialist Managers,More than 200,Couple with dependent children,Regional,2,3,6,,9,3,4,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Strongly agree,Somewhat agree,Neither agree nor disagree,No,more productivity
6,1985,Male,Between 1 and 5 years,Manufacturing,Technicians and trades workers - Construction Trades Workers,Between 5 and 19,Couple with dependent children,Metro,2,3,8,2,8,4,2,8,No,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,more productivity
7,1973,Male,More than 5 years,Public Administration and Safety,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,3,3,8,1,8,3,4,8,No,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
8,1992,Female,Between 1 and 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,Metro,0.5,5.5,8,0.5,9,0.5,5,9,No,Stayed about the same,Stayed about the same,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Stayed about the same,Not a barrier for me,Stayed about the same,Not a barrier for me,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,No,more productivity
9,1970,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,One parent family with dependent children,Metro,5,2,8,1,7,5,3,8,Yes,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Significantly improved,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Significantly improved,Strongly agree,Somewhat agree,Strongly disagree,No,less productivity
10,1981,Female,Between 1 and 5 years,Other Services,Professionals - ICT Professionals,More than 200,Couple with no dependent children,Metro,0,7.5,7,0.5,8,0,8.5,7,No,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Strongly agree,Strongly agree,Strongly disagree,No,more productivity
11,1980,Female,Between 1 and 5 years,"Electricity, Gas, Water and Waste",Professionals - ICT Professionals,More than 200,Group household,Metro,2,4,8,0,8,4,4,8,No,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Significantly improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
12,1959,Male,Between 1 and 5 years,Construction,Machinery operators and drivers - Mobile Plant Operators,Between 5 and 19,Couple with dependent children,Metro,3,4,8,1,8,3,4,8,No,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat agree,Neither agree nor disagree,Somewhat agree,Yes,more productivity
13,1992,Female,Between 6 and 12 months,Other Services,Professionals - ICT Professionals,Between 1 and 4,Couple with dependent children,Metro,2,3,8,0,12,2,2,8,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,less productivity
14,1968,Female,More than 5 years,Administrative and Support,Clerical and administrative workers - General Clerical Workers,More than 200,Couple with no dependent children,Metro,2,3.5,8,0,8,3,4,9,No,Not a barrier for me,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat improved,Significantly worsened,Significantly worsened,Significantly worsened,Somewhat worsened,Not a barrier for me,Not a barrier for me,Somewhat worsened,Somewhat improved,Strongly disagree,Strongly disagree,Strongly agree,No,less productivity
15,1976,Male,More than 5 years,"Professional, Scientific and Technical",Professionals - Health Professionals,Between 5 and 19,Single person,Metro,2,1,9,0,12,2,2,8,No,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat worsened,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Somewhat agree,No,more productivity
16,1973,Male,More than 5 years,Education and Training,Professionals - Education Professionals,More than 200,Single person,Metro,3,2,8,2,8,3,3,8,No,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Somewhat worsened,Stayed about the same,Somewhat worsened,Stayed about the same,Somewhat worsened,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes,more productivity
17,1972,Female,Between 1 and 5 years,Retail Trade,"Managers - Hospitality, Retail and Service Managers",More than 200,One parent family with dependent children,Regional,5,5,4,5,5,5,5,4,No,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,No,more productivity
18,1977,Female,More than 5 years,Administrative and Support,"Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,Couple with dependent children,Regional,3,3,7,1,8,4,3,8,Yes,Somewhat improved,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat agree,Strongly agree,Somewhat agree,Yes,more productivity
19,1978,Male,More than 5 years,Construction,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Metro,3,2,8,1,8,4,3,8,Yes,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Stayed about the same,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat agree,Somewhat agree,Neither agree nor disagree,Yes,more productivity
20,1995,Female,Between 1 and 5 years,Retail Trade,Sales workers - Sales Support Workers,More than 200,Other one family household,Metro,3,2.5,8,0.5,8,3,4.5,8,No,Not a barrier for me,Somewhat worsened,Somewhat worsened,Not a barrier for me,Not a barrier for me,Somewhat worsened,Not a barrier for me,Not a barrier for me,Not a barrier for me,Not a barrier for me,Significantly worsened,Somewhat improved,Not a barrier for me,Somewhat worsened,Not a barrier for me,Somewhat improved,Strongly agree,Strongly agree,Somewhat disagree,No,more productivity
21,1980,Female,Between 6 and 12 months,Construction,Community and personal service workers - Hospitality Workers,Between 5 and 19,Couple with dependent children,Metro,1,5,8,2,10,8,2,2,Yes,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Somewhat improved,Somewhat agree,Somewhat agree,Somewhat agree,Yes,more productivity
22,1978,Male,More than 5 years,Accommodation and Food,Managers - Specialist Managers,Between 20 and 199,Couple with dependent children,Regional,5,8,8,1,8,4,3,8,No,Significantly improved,Somewhat improved,Somewhat improved,Somewhat improved,Significantly improved,Somewhat improved,Significantly improved,Significantly improved,Somewhat improved,Significantly improved,Stayed about the same,Somewhat improved,Somewhat improved,Somewhat improved,Stayed about the same,Stayed about the same,Strongly agree,Somewhat agree,Somewhat agree,Yes,more productivity
